2048	1000	1085.71	-0.0888248	8.976111E-02	0
     0	         0
     1	         0
     2	         0
     3	         0
     4	         1
     5	         1
     6	         0
     7	         1
     8	         0
     9	         0
    10	         0
    11	         0
    12	         0
    13	         0
    14	        33
    15	      1052
    16	      3426
    17	      4675
    18	      4967
    19	      4936
    20	      5085
    21	      4936
    22	      4921
    23	      4940
    24	      4773
    25	      4632
    26	      4646
    27	      4679
    28	      4573
    29	      4573
    30	      4604
    31	      4271
    32	      4305
    33	      4367
    34	      4209
    35	      4113
    36	      4306
    37	      4129
    38	      4126
    39	      4104
    40	      4052
    41	      4119
    42	      3975
    43	      3963
    44	      3981
    45	      3788
    46	      3843
    47	      3836
    48	      3825
    49	      3813
    50	      3717
    51	      3774
    52	      3689
    53	      3701
    54	      3573
    55	      3618
    56	      3659
    57	      3586
    58	      3527
    59	      3590
    60	      3607
    61	      3548
    62	      3438
    63	      3494
    64	      3522
    65	      3500
    66	      3361
    67	      3274
    68	      3425
    69	      3471
    70	      3338
    71	      3350
    72	      3363
    73	      3275
    74	      3347
    75	      3310
    76	      3265
    77	      3177
    78	      3117
    79	      3132
    80	      3195
    81	      3215
    82	      3241
    83	      3152
    84	      3171
    85	      3149
    86	      3154
    87	      3149
    88	      3125
    89	      3012
    90	      3108
    91	      3102
    92	      2916
    93	      3018
    94	      3002
    95	      2988
    96	      3071
    97	      2975
    98	      3033
    99	      3025
   100	      2922
   101	      3056
   102	      3019
   103	      2931
   104	      2961
   105	      3007
   106	      2948
   107	      2959
   108	      2918
   109	      2981
   110	      2823
   111	      2960
   112	      2859
   113	      2891
   114	      2916
   115	      2969
   116	      2940
   117	      2881
   118	      2963
   119	      2846
   120	      3029
   121	      3158
   122	      3485
   123	      3767
   124	      3945
   125	      3991
   126	      3599
   127	      3194
   128	      3065
   129	      3050
   130	      3045
   131	      3247
   132	      3472
   133	      4259
   134	      5850
   135	      7594
   136	      8753
   137	      8505
   138	      6541
   139	      4414
   140	      3234
   141	      2945
   142	      2800
   143	      2740
   144	      2758
   145	      2844
   146	      2818
   147	      2743
   148	      2761
   149	      2805
   150	      2731
   151	      2699
   152	      2857
   153	      2862
   154	      3037
   155	      3198
   156	      3109
   157	      3011
   158	      2830
   159	      2827
   160	      2796
   161	      2813
   162	      2869
   163	      2738
   164	      2925
   165	      3198
   166	      3855
   167	      4812
   168	      4796
   169	      4155
   170	      3300
   171	      2858
   172	      2920
   173	      3044
   174	      2948
   175	      2791
   176	      2668
   177	      2605
   178	      2550
   179	      2599
   180	      2545
   181	      2619
   182	      2573
   183	      2518
   184	      2510
   185	      2537
   186	      2526
   187	      2483
   188	      2452
   189	      2491
   190	      2512
   191	      2561
   192	      2461
   193	      2556
   194	      2439
   195	      2477
   196	      2450
   197	      2501
   198	      2423
   199	      2386
   200	      2524
   201	      2446
   202	      2534
   203	      2461
   204	      2430
   205	      2473
   206	      2437
   207	      2529
   208	      2437
   209	      2466
   210	      2503
   211	      2527
   212	      2529
   213	      2598
   214	      2466
   215	      2529
   216	      2547
   217	      2579
   218	      2572
   219	      2590
   220	      2524
   221	      2574
   222	      2685
   223	      2596
   224	      2693
   225	      2789
   226	      2904
   227	      2963
   228	      3020
   229	      3083
   230	      3112
   231	      3292
   232	      3363
   233	      3432
   234	      3569
   235	      3642
   236	      3698
   237	      3938
   238	      4084
   239	      4211
   240	      4681
   241	      5815
   242	      9766
   243	     19361
   244	     35994
   245	     55712
   246	     69293
   247	     66670
   248	     46175
   249	     23117
   250	      9361
   251	      4316
   252	      3136
   253	      2840
   254	      2820
   255	      2785
   256	      2919
   257	      2843
   258	      2777
   259	      2893
   260	      2821
   261	      3031
   262	      2965
   263	      2877
   264	      3011
   265	      3056
   266	      3113
   267	      3326
   268	      3364
   269	      3501
   270	      3465
   271	      3561
   272	      3708
   273	      4226
   274	      5895
   275	     10876
   276	     20882
   277	     31521
   278	     34115
   279	     26375
   280	     14794
   281	      8563
   282	      7748
   283	      8784
   284	      8976
   285	      6784
   286	      4497
   287	      3251
   288	      2829
   289	      2457
   290	      2642
   291	      2579
   292	      2570
   293	      2553
   294	      2548
   295	      2529
   296	      2568
   297	      2631
   298	      2575
   299	      2568
   300	      2658
   301	      2600
   302	      2657
   303	      2676
   304	      2622
   305	      2673
   306	      2603
   307	      2581
   308	      2653
   309	      2710
   310	      2587
   311	      2726
   312	      2623
   313	      2825
   314	      2741
   315	      2594
   316	      2733
   317	      2655
   318	      2728
   319	      2624
   320	      2733
   321	      2599
   322	      2608
   323	      2686
   324	      2684
   325	      2666
   326	      2678
   327	      2760
   328	      2793
   329	      2632
   330	      2710
   331	      2674
   332	      2701
   333	      2716
   334	      2713
   335	      2762
   336	      2802
   337	      2719
   338	      2743
   339	      2751
   340	      2677
   341	      2704
   342	      2715
   343	      2806
   344	      2774
   345	      2774
   346	      2786
   347	      2743
   348	      2763
   349	      2756
   350	      2707
   351	      2866
   352	      2730
   353	      2801
   354	      2852
   355	      2728
   356	      2729
   357	      2768
   358	      2768
   359	      2820
   360	      2714
   361	      2811
   362	      2747
   363	      2764
   364	      2822
   365	      2810
   366	      2728
   367	      2661
   368	      2780
   369	      2759
   370	      2696
   371	      2717
   372	      2698
   373	      2693
   374	      2704
   375	      2607
   376	      2757
   377	      2713
   378	      2692
   379	      2714
   380	      2748
   381	      2759
   382	      2698
   383	      2651
   384	      2658
   385	      2656
   386	      2631
   387	      2624
   388	      2616
   389	      2571
   390	      2638
   391	      2596
   392	      2632
   393	      2702
   394	      2640
   395	      2579
   396	      2567
   397	      2575
