2048	5000	5607.98	-0.0748914	8.982734E-02	0
     0	         0
     1	         0
     2	         0
     3	         0
     4	         0
     5	         0
     6	         0
     7	         1
     8	         0
     9	         0
    10	         0
    11	         0
    12	         1
    13	         0
    14	         2
    15	       228
    16	      5347
    17	     22334
    18	     32608
    19	     35367
    20	     35711
    21	     35817
    22	     35331
    23	     34944
    24	     34788
    25	     34151
    26	     33980
    27	     34185
    28	     33623
    29	     33129
    30	     33225
    31	     32699
    32	     32520
    33	     32305
    34	     31898
    35	     31806
    36	     31228
    37	     30954
    38	     30518
    39	     30114
    40	     29961
    41	     30202
    42	     29656
    43	     29709
    44	     29264
    45	     29317
    46	     29215
    47	     28720
    48	     28678
    49	     28304
    50	     28437
    51	     27898
    52	     28238
    53	     27673
    54	     27348
    55	     27057
    56	     27291
    57	     26778
    58	     27068
    59	     26591
    60	     26579
    61	     26568
    62	     26219
    63	     26341
    64	     25808
    65	     25774
    66	     25917
    67	     25635
    68	     25398
    69	     24840
    70	     25270
    71	     24958
    72	     24944
    73	     24842
    74	     24819
    75	     24459
    76	     24610
    77	     24419
    78	     23904
    79	     24237
    80	     24109
    81	     23969
    82	     23676
    83	     23667
    84	     23534
    85	     23446
    86	     23060
    87	     23562
    88	     23021
    89	     23146
    90	     23251
    91	     23189
    92	     22769
    93	     22594
    94	     22655
    95	     23042
    96	     22629
    97	     22447
    98	     22806
    99	     22397
   100	     22228
   101	     22218
   102	     22078
   103	     22003
   104	     21859
   105	     21684
   106	     21758
   107	     21888
   108	     21809
   109	     21675
   110	     21602
   111	     21797
   112	     21618
   113	     21517
   114	     21415
   115	     21599
   116	     21609
   117	     21525
   118	     21504
   119	     21296
   120	     22171
   121	     23057
   122	     24642
   123	     25824
   124	     27078
   125	     26846
   126	     25123
   127	     23385
   128	     22552
   129	     22767
   130	     22587
   131	     23060
   132	     24369
   133	     28732
   134	     36591
   135	     45820
   136	     51881
   137	     50041
   138	     39497
   139	     28824
   140	     22912
   141	     21324
   142	     20981
   143	     20940
   144	     20812
   145	     20770
   146	     20632
   147	     20486
   148	     20640
   149	     20584
   150	     20466
   151	     20563
   152	     20734
   153	     21022
   154	     21840
   155	     22180
   156	     22044
   157	     21433
   158	     21115
   159	     20726
   160	     20682
   161	     20712
   162	     20522
   163	     20408
   164	     20874
   165	     22461
   166	     26567
   167	     30643
   168	     30966
   169	     27033
   170	     22963
   171	     21128
   172	     21152
   173	     21755
   174	     21358
   175	     20645
   176	     19802
   177	     18913
   178	     18643
   179	     18983
   180	     19035
   181	     18792
   182	     18669
   183	     18779
   184	     18747
   185	     18697
   186	     18503
   187	     18595
   188	     18456
   189	     18507
   190	     18577
   191	     18532
   192	     18448
   193	     18568
   194	     18601
   195	     18567
   196	     18680
   197	     18295
   198	     18342
   199	     18228
   200	     18504
   201	     18269
   202	     18405
   203	     18283
   204	     18341
   205	     17980
   206	     18190
   207	     18039
   208	     18292
   209	     18190
   210	     18286
   211	     18279
   212	     18257
   213	     18253
   214	     17969
   215	     18186
   216	     18400
   217	     18400
   218	     18272
   219	     18203
   220	     18400
   221	     18642
   222	     18708
   223	     18859
   224	     18990
   225	     19285
   226	     19595
   227	     20421
   228	     20809
   229	     21128
   230	     21390
   231	     21758
   232	     22365
   233	     22692
   234	     22951
   235	     23573
   236	     24203
   237	     24843
   238	     26052
   239	     27254
   240	     29354
   241	     36414
   242	     57271
   243	    107218
   244	    192861
   245	    291956
   246	    357342
   247	    338431
   248	    235825
   249	    121020
   250	     52066
   251	     26872
   252	     20658
   253	     19483
   254	     19519
   255	     19336
   256	     19521
   257	     19429
   258	     19708
   259	     19662
   260	     19867
   261	     19954
   262	     19649
   263	     20026
   264	     20021
   265	     20446
   266	     20829
   267	     21368
   268	     22383
   269	     23051
   270	     23248
   271	     23587
   272	     24279
   273	     26357
   274	     35652
   275	     63083
   276	    113842
   277	    167556
   278	    178847
   279	    136876
   280	     80094
   281	     49329
   282	     45311
   283	     51194
   284	     49909
   285	     39005
   286	     27555
   287	     20876
   288	     18420
   289	     18158
   290	     17686
   291	     17927
   292	     17937
   293	     17581
   294	     18234
   295	     17888
   296	     17898
   297	     18057
   298	     17836
   299	     18025
   300	     18006
   301	     18244
   302	     18076
   303	     18374
   304	     18413
   305	     18270
   306	     18312
   307	     18114
   308	     18438
   309	     18345
   310	     18343
   311	     18400
   312	     18062
   313	     18350
   314	     18487
   315	     18545
   316	     18535
   317	     18558
   318	     18762
   319	     18611
   320	     18549
   321	     18537
   322	     18684
   323	     18725
   324	     18855
   325	     18942
   326	     18974
   327	     19079
   328	     18877
   329	     19210
   330	     18776
   331	     18839
   332	     19012
   333	     19096
   334	     19055
   335	     19153
   336	     19244
   337	     19407
   338	     19546
   339	     19459
   340	     19532
   341	     19590
   342	     19352
   343	     19648
   344	     19608
   345	     19569
   346	     19467
   347	     19674
   348	     19820
   349	     19872
   350	     19857
   351	     19752
   352	     19902
   353	     20186
   354	     19818
   355	     19888
   356	     20065
   357	     20214
   358	     19837
   359	     20217
   360	     20217
   361	     20349
   362	     20208
   363	     19979
   364	     20184
   365	     20279
   366	     20293
   367	     20449
   368	     20393
   369	     20422
   370	     20549
   371	     20436
   372	     20436
   373	     20500
   374	     20323
   375	     20458
   376	     20525
   377	     20594
   378	     20565
   379	     20713
   380	     20663
   381	     20659
   382	     20451
   383	     20869
   384	     20880
   385	     20631
   386	     20930
   387	     20921
   388	     20688
   389	     20811
   390	     20714
   391	     20729
   392	     20932
   393	     20926
   394	     20920
   395	     20628
   396	     20815
   397	     20949
